CustomerID,Last_Sale,LifeCycle,Quantity,Total_Revenue,Orders,Average_Ticket,Average_Orders_Period,CLV,Status
12347,2011-12-07,365,623,1146.59,7,163.79857142857142,0.019178082191780823,1146.59,Medio/Alto Retorno - Pulverizado
12348,2011-09-25,283,531,550.92,4,137.73,0.014134275618374558,550.92,Medio Retorno - Pulverizado
12349,2011-11-21,0,203,406.32,1,406.32,0.0,0.0,Primeira Compra
12350,2011-02-02,0,36,45.6,1,45.6,0.0,0.0,Primeira Compra
12352,2011-11-03,260,163,663.33,6,110.555,0.023076923076923078,663.3300000000002,Medio/Alto Retorno - Pulverizado
12353,2011-05-19,0,8,11.6,1,11.6,0.0,0.0,Primeira Compra
12354,2011-04-21,0,96,181.57999999999998,1,181.57999999999998,0.0,0.0,Primeira Compra
12355,2011-05-09,0,14,68.7,1,68.7,0.0,0.0,Primeira Compra
12356,2011-04-08,80,172,285.0,2,142.5,0.025,285.0,Medio Retorno - Pulverizado
12357,2011-11-06,0,493,1174.51,1,1174.51,0.0,0.0,Primeira Compra
12358,2011-12-08,149,112,403.92,2,201.96,0.013422818791946308,403.92,Medio Retorno - Pulverizado
12359,2011-10-13,274,303,869.63,4,217.4075,0.014598540145985401,869.63,Medio/Alto Retorno - Pulverizado
12360,2011-10-18,148,254,576.18,3,192.05999999999997,0.02027027027027027,576.18,Medio Retorno - Pulverizado
12361,2011-02-25,0,10,16.5,1,16.5,0.0,0.0,Primeira Compra
12362,2011-12-06,292,387,1053.38,10,105.33800000000001,0.03424657534246575,1053.38,Medio/Alto Retorno - Pulverizado
12363,2011-08-22,133,140,162.6,2,81.3,0.015037593984962405,162.6,Medio Retorno - Pulverizado
12364,2011-12-02,105,256,195.6,3,65.2,0.02857142857142857,195.6,Medio Retorno - Pulverizado
12365,2011-02-21,0,37,71.99000000000001,1,71.99000000000001,0.0,0.0,Primeira Compra
12367,2011-12-05,0,24,33.599999999999994,1,33.599999999999994,0.0,0.0,Primeira Compra
12370,2011-10-19,309,620,694.79,4,173.6975,0.012944983818770227,694.79,Medio/Alto Retorno - Pulverizado
12371,2011-10-11,0,110,245.7,1,245.7,0.0,0.0,Primeira Compra
12372,2011-09-29,225,216,380.48,3,126.82666666666667,0.013333333333333334,380.48,Medio Retorno - Pulverizado
12373,2011-02-01,0,51,104.5,1,104.5,0.0,0.0,Primeira Compra
12374,2011-11-14,0,97,189.15,1,189.15,0.0,0.0,Primeira Compra
12375,2011-11-29,88,51,131.70000000000002,2,65.85000000000001,0.022727272727272728,131.70000000000002,Baixo Retorno - Micro Pulverizado
12377,2011-01-28,39,212,328.32,2,164.16,0.05128205128205128,328.32,Medio Retorno - Pulverizado
12378,2011-08-02,0,500,858.4399999999999,1,858.4399999999999,0.0,0.0,Primeira Compra
12379,2011-09-19,89,82,198.49999999999997,2,99.24999999999999,0.02247191011235955,198.49999999999994,Medio Retorno - Pulverizado
12380,2011-11-18,164,111,235.75,4,58.9375,0.024390243902439025,235.75,Medio Retorno - Pulverizado
12381,2011-10-12,61,113,170.39,2,85.195,0.03278688524590164,170.39,Medio Retorno - Pulverizado
12383,2011-06-08,168,225,400.9,5,80.17999999999999,0.02976190476190476,400.8999999999999,Medio Retorno - Pulverizado
12384,2011-11-11,93,28,77.55000000000001,2,38.775000000000006,0.021505376344086023,77.55000000000003,Baixo Retorno - Micro Pulverizado
12386,2010-12-08,0,24,30.0,1,30.0,0.0,0.0,Primeira Compra
12388,2011-11-24,311,322,595.5,6,99.25,0.01929260450160772,595.5,Medio Retorno - Pulverizado
12390,2011-09-21,0,48,70.5,1,70.5,0.0,0.0,Primeira Compra
12391,2011-11-18,0,57,99.69,1,99.69,0.0,0.0,Primeira Compra
12393,2011-09-28,260,219,381.25,3,127.08333333333333,0.011538461538461539,381.25,Medio Retorno - Pulverizado
12394,2011-05-06,0,18,56.3,1,56.3,0.0,0.0,Primeira Compra
12395,2011-11-20,338,412,844.27,10,84.42699999999999,0.029585798816568046,844.2699999999999,Medio/Alto Retorno - Pulverizado
12397,2011-11-04,100,316,448.78,2,224.39,0.02,448.78000000000003,Medio Retorno - Pulverizado
12398,2011-10-25,0,233,335.4,1,335.4,0.0,0.0,Primeira Compra
12399,2011-08-12,142,132,140.34,3,46.78,0.02112676056338028,140.34,Medio Retorno - Pulverizado
12401,2011-02-09,0,3,17.85,1,17.85,0.0,0.0,Primeira Compra
